pmid	doi	year	title	Hugo_Symbol
33788417	10.1002/pbc.29036	2021	Novel risk factors for glucarpidase use in pediatric acute lymphoblastic leukemia: Hispanic ethnicity, age, and the ABCC4 gene.	ARID5B
33891562	10.18632/aging.202903	2021	Age-related differences of genetic susceptibility to patients with acute lymphoblastic leukemia.	ARID5B
31573954	10.1158/1078-0432.CCR-19-0190	2020	<i>ARID5B</i> Influences Antimetabolite Drug Sensitivity and Prognosis of Acute Lymphoblastic Leukemia.	ARID5B
31704777	10.1136/jmedgenet-2019-106339	2020	Novel phenotypes observed in patients with <i>ETV6</i>-linked leukaemia/familial thrombocytopenia syndrome and a biallelic <i>ARID5B</i> risk allele as leukaemogenic cofactor.	ARID5B
31870219	10.1080/08880018.2019.1705949	2020	Association of <i>ABCC2</i> with levels and toxicity of methotrexate in Malaysian Childhood Acute Lymphoblastic Leukemia (ALL).	ARID5B
32488880	10.1002/jcla.23414	2020	Association of TLX1 gene polymorphisms with the risk of acute lymphoblastic leukemia and B lineage acute lymphoblastic leukemia in Han Chinese children.	ARID5B
30770347	10.1158/1055-9965.EPI-18-0801	2019	Is There Etiologic Heterogeneity between Subtypes of Childhood Acute Lymphoblastic Leukemia? A Review of Variation in Risk by Subtype.	ARID5B
30810385	10.1089/gtmb.2018.0283	2019	Association of ARID5B and IKZF1 Variants with Leukemia from Northern India.	ARID5B
31076442	10.1182/blood.2018874503	2019	The enhancer RNA <i>ARIEL</i> activates the oncogenic transcriptional program in T-cell acute lymphoblastic leukemia.	ARID5B
31111395	10.1007/s12185-019-02658-2	2019	ARID5B gene polymorphisms and the risk of childhood acute lymphoblastic leukemia: a meta-analysis.	ARID5B
31221981	10.1038/s12276-019-0230-6	2019	The cancer driver genes IDH1/2, JARID1C/ KDM5C, and UTX/ KDM6A: crosstalk between histone demethylation and hypoxic reprogramming in cancer metabolism.	ARID5B
31227872	10.1007/s00277-019-03730-x	2019	Variants in ARID5B gene are associated with the development of acute lymphoblastic leukemia in Mexican children.	ARID5B
31274788	10.1097/JCMA.0000000000000038	2019	Genetic polymorphisms of ARID5B rs7089424 and rs10994982 are associated with B-lineage ALL susceptibility in Chinese pediatric population.	ARID5B
31350265	10.1182/blood.2018890764	2019	Inherited genetic susceptibility to acute lymphoblastic leukemia in Down syndrome.	ARID5B
31424309	10.1080/08880018.2019.1649333	2019	<i>ARID5B</i> rs10821936 and rs10994982 gene polymorphisms and acute lymphoblastic leukemia: relation to disease susceptibility and outcome.	ARID5B
31800538	10.1097/JCMA.0000000000000197	2019	ARID5B rs7089424 and rs10994982 and association with B-lineage ALL susceptibility.	ARID5B
31800539	10.1097/JCMA.0000000000000198	2019	Reply to ARID5B rs7089424 and rs10994982 and association with B-lineage ALL susceptibility.	ARID5B
29335448	10.1038/s41598-017-19127-7	2018	Regional evaluation of childhood acute lymphoblastic leukemia genetic susceptibility loci among Japanese.	ARID5B
29504848	10.1080/08916934.2018.1446525	2018	Signalling pathways identified in salivary glands from primary Sjögren's syndrome patients reveal enhanced adipose tissue development.	ARID5B
29654272	10.1038/s41375-018-0110-4	2018	Identification of novel lncRNAs regulated by the TAL1 complex in T-cell acute lymphoblastic leukemia.	ARID5B
28256501	10.1038/ncomms14616	2017	Genetic and regulatory mechanism of susceptibility to high-hyperdiploid acute lymphoblastic leukaemia at 10p21.2.	ARID5B
28381164	10.1177/1010428317697573	2017	Association of ARID5B gene variants with acute lymphoblastic leukemia in Yemeni children.	ARID5B
28751478	10.1158/1055-9965.EPI-17-0360	2017	Novel Gene and Network Associations Found for Acute Lymphoblastic Leukemia Using Case-Control and Family-Based Studies in Multiethnic Populations.	ARID5B
28817678	10.1371/journal.pone.0180488	2017	Family-based exome-wide association study of childhood acute lymphoblastic leukemia among Hispanics confirms role of ARID5B in susceptibility.	ARID5B
28905228	10.1007/s12032-017-1038-7	2017	Genetic susceptibility in childhood acute lymphoblastic leukemia.	ARID5B
29326336	10.1101/gad.302646.117	2017	ARID5B as a critical downstream target of the TAL1 complex that activates the oncogenic transcriptional program and promotes T-cell leukemogenesis.	ARID5B
26941364	10.1158/1055-9965.EPI-15-0528	2016	Pathway Analysis of Genome-wide Association Study in Childhood Leukemia among Hispanics.	ARID5B
27184773	10.3109/08880018.2016.1161685	2016	Association of genetic variation in IKZF1, ARID5B, CDKN2A, and CEBPE with the risk of acute lymphoblastic leukemia in Tunisian children and their contribution to racial differences in leukemia incidence.	ARID5B
27644650		2016	Association of Genetic Variants in ARID5B, IKZF1 and CEBPE with Risk of Childhood de novo B-Lineage Acute Lymphoblastic Leukemia in India.	ARID5B
28476190	10.1016/j.arcmed.2016.12.003	2016	ARID5B, CEBPE and PIP4K2A Germline Genetic Polymorphisms and Risk of Childhood Acute Lymphoblastic Leukemia in Mexican Patients: A MIGICCL Study.	ARID5B
24707947	10.3109/10428194.2014.910662	2015	Genetic markers in a multi-ethnic sample for childhood acute lymphoblastic leukemia risk.	ARID5B
25005032	10.3109/10428194.2014.933479	2015	Childhood acute lymphoblastic leukemia-associated risk-loci IKZF1, ARID5B and CEBPE and risk of pediatric non-Hodgkin lymphoma: a report from the Berlin-Frankfurt-Münster Study Group.	ARID5B
25150625	10.1016/j.bcmd.2014.07.011	2015	Concordant B-cell precursor acute lymphoblastic leukemia in non-twinned siblings.	ARID5B
25761407	10.1007/s10552-015-0550-3	2015	Association of genetic variation in IKZF1, ARID5B, and CEBPE and surrogates for early-life infections with the risk of acute lymphoblastic leukemia in Hispanic children.	ARID5B
25806972	10.1371/journal.pone.0121348	2015	ARID5B, IKZF1 and non-genetic factors in the etiology of childhood acute lymphoblastic leukemia: the ESCALE study.	ARID5B
